,Date YYYYMMDD,Amplitude,Latitude,Longitude,Depth (unused),Class,X_coord,Y_coord,Z_coord,start,finish,duration
0,19691120.0,30.0,-3.94,-21.2,0.0,3.0,0.01860240604932242,-0.007215397784877238,-0.0013742357811239757,2217.0,2322.0,65.0
1,19700415.0,1.0,-2.75,-27.86,0.0,3.0,0.0176614791786,-0.009335491036754014,-0.0009595625704268789,1215.0,1310.0,55.0
2,19710204.0,570.0,-8.09,-26.02,0.0,3.0,0.01779395813942747,-0.008686383391259293,-0.00281456876134827,740.0,1020.0,160.0
3,19710207.0,4.75,-3.42,-19.67,0.0,3.0,0.018799398134422614,-0.006720055855231438,-0.001193096427803414,1840.0,1915.0,35.0
4,19710729.0,250.0,-1.51,-11.81,0.0,3.0,0.01956983548915668,-0.004091916417929402,-0.0005270284205082932,2100.0,2330.0,150.0
5,19710803.0,3.0,26.36,0.25,0.0,3.0,0.017920268527306705,7.819241838581617e-05,0.00888019492212461,2235.0,2300.0,25.0
6,19721210.0,2.4,-4.21,-12.31,0.0,3.0,0.01948744194114301,-0.004252512505576353,-0.0014682452044864035,2315.0,5.0,50.0
7,19720513.0,1.5,1.2,-16.49,0.0,1.0,0.0191731798882474,-0.00567571484420043,0.00041884839766713917,2210.0,2240.0,30.0
8,19720731.0,1.5,23.42,7.23,0.0,1.0,0.018206398410618132,0.0023096886202072734,0.007949364464630277,2318.0,2355.0,37.0
9,19720829.0,21.0,15.19,20.57,0.0,1.0,0.018070667527490893,0.006781520940275385,0.005240414949934086,2259.0,50.0,111.0
10,19731224.0,6.0,-17.94,-20.74,0.0,1.0,0.01779454747988332,-0.006738199664410754,-0.006160417621291023,1138.0,1220.0,42.0
